"Product ID;Immagine;Nome;Riferimento;Categoria;""Prezzo (tasse escl.)"";""Prezzo (tasse incl.)"";Quantità;Stato;Posizione"
"36;https://www.customizetm.it/img/p/7/2/72.jpg;""T-SHIRT SCOLLO A V - OFFWHITE"";CS2241/O;Shop;53.278689;65;0;1"
"37;https://www.customizetm.it/img/p/7/4/74.jpg;""T-SHIRT SCOLLO A V - NERO"";CS2241/N;Shop;53.278689;65;0;1"
"38;https://www.customizetm.it/img/p/7/6/76.jpg;""T-SHIRT  - OFFWHITE"";CS2248/O;Saldi;49.098361;59.9;25;0"
"39;https://www.customizetm.it/img/p/7/8/78.jpg;""PANTALONE - PESCA"";CS2262/P;Shop;72.950820;89;0;1"
"40;https://www.customizetm.it/img/p/8/0/80.jpg;""PANTALONE - CRYSTAL BLUE"";CS2262/CB;Shop;73.688525;89.9;0;1"
"41;https://www.customizetm.it/img/p/8/2/82.jpg;""PANTALONE - GIALLO PASTELLO"";CS2262/GP;Shop;73.688525;89.9;0;1"
"42;https://www.customizetm.it/img/p/8/4/84.jpg;""PANTALONE - VERDE INGLESE"";CS2262/VI;Shop;73.688525;89.9;25;0"
"43;https://www.customizetm.it/img/p/8/6/86.jpg;""PANTALONE - NERO"";CS2262/N;Shop;73.688525;89.9;20;0"
"44;https://www.customizetm.it/img/p/8/8/88.jpg;""PANTALONE DRITTO - BIANCO"";CS2256/B;Shop;77.786885;94.9;25;0"
"45;https://www.customizetm.it/img/p/9/0/90.jpg;""PANTALONE DRITTO - NERO"";CS2256/N;Shop;77.786885;94.9;25;0"
"46;https://www.customizetm.it/img/p/9/2/92.jpg;""BERMUDA - VERDE PASTELLO"";CS2258/VP;Shop;56.557377;69;0;1"
"47;https://www.customizetm.it/img/p/9/4/94.jpg;""BERMUDA - LAVANDA"";CS2258/L;Shop;56.557377;69;2;0"
"48;https://www.customizetm.it/img/p/9/6/96.jpg;""BERMUDA - CRYSTAL BLUE"";CS2258/CB;Shop;56.557377;69;0;1"
"49;https://www.customizetm.it/img/p/9/8/98.jpg;""BERMUDA - OFFWHITE"";CS2258/O;Shop;56.557377;69;0;1"
"50;https://www.customizetm.it/img/p/1/0/0/100.jpg;""TOP - LILLA"";CS2225/L;Saldi;36.885246;45;23;0"
"51;https://www.customizetm.it/img/p/1/0/3/103.jpg;""SHORT - LILLA"";CS2226/L;Saldi;40.983607;50;24;0"
"52;https://www.customizetm.it/img/p/1/0/4/104.jpg;""CICLISTA - LILLA"";CS2224/L;Saldi;44.262295;54;23;0"
53;https://www.customizetm.it/img/p/1/0/9/109.jpg;CAPPELLO;CS2205;Shop;16.311475;19.9;0;1
"54;https://www.customizetm.it/img/p/1/4/9/149.jpg;""FELPA CROP CAPPUCCIO - BIANCO"";CS2140/B;Saldi;62.213115;75.9;46;0"
"55;https://www.customizetm.it/img/p/1/5/0/150.jpg;""FELPA CROP CAPPUCCIO - NERO"";CS2140/N;Saldi;62.213115;75.9;46;0"
"56;https://www.customizetm.it/img/p/1/4/5/145.jpg;""FELPA CROP - ROSA"";CS2150/R;Saldi;49.180328;60;47;0"
"57;https://www.customizetm.it/img/p/1/1/3/113.jpg;""T-SHIRT - NERO"";CS2157/N;Saldi;49.098361;59.9;48;0"
"58;https://www.customizetm.it/img/p/1/1/5/115.jpg;""T-SHIRT - BIANCO"";CS2157/O;Saldi;49.098361;59.9;46;0"
"59;https://www.customizetm.it/img/p/1/1/7/117.jpg;""T-SHIRT - ROSA"";CS2157/R;Saldi;49.098361;59.9;50;0"
"60;https://www.customizetm.it/img/p/1/1/9/119.jpg;""T-SHIRT - CELESTE"";CS2157/C;Saldi;49.098361;59.9;49;0"
"61;https://www.customizetm.it/img/p/1/3/8/138.jpg;""T-SHIRT CROP - BIANCO"";CS2156/B;Women;32.704918;39.9;0;1"
"62;https://www.customizetm.it/img/p/1/4/7/147.jpg;""T-SHIRT CROP - ROSA"";CS2156/R;Saldi;32.704918;39.9;50;0"
"63;https://www.customizetm.it/img/p/1/4/1/141.jpg;""T-SHIRT CROP - CELESTE"";CS2156/C;Saldi;32.704918;39.9;50;0"
"64;https://www.customizetm.it/img/p/1/4/3/143.jpg;""T-SHIRT CROP - NERO"";CS2156/N;Saldi;32.704918;39.9;49;0"
"65;https://www.customizetm.it/img/p/1/2/2/122.jpg;""PANTALONE - BIANCO"";CS2154/B;Saldi;72.950820;89;43;0"
"66;https://www.customizetm.it/img/p/1/2/3/123.jpg;""PANTALONE LOGO- NERO"";CS2154/N;Saldi;72.950820;89;0;1"
"67;https://www.customizetm.it/img/p/1/2/5/125.jpg;""PANTALONE - ROSA"";CS2154/R;Saldi;72.950820;89;45;0"
"68;https://www.customizetm.it/img/p/1/2/7/127.jpg;""PANTALONE - CELESTE"";CS2154/C;Saldi;72.950820;89;50;0"
"69;https://www.customizetm.it/img/p/1/2/9/129.jpg;""BERMUDA - NERO"";CS3151/N;Saldi;56.557377;69;48;0"
"70;https://www.customizetm.it/img/p/1/3/1/131.jpg;""BERMUDA - BIANCO"";CS3151/B;Saldi;56.557377;69;48;0"
"71;https://www.customizetm.it/img/p/1/3/3/133.jpg;""BERMUDA - ROSA"";CS3151/R;Saldi;56.557377;69;50;0"
"72;https://www.customizetm.it/img/p/1/3/5/135.jpg;""BERMUDA - CELESTE"";CS3151/C;Saldi;56.557377;69;50;0"
"73;https://www.customizetm.it/img/p/1/5/1/151.jpg;""FELPA CAPPUCCIO MINI-LOGO - BIANCO"";CS2178/B;Shop;72.950820;89;50;0"
"74;https://www.customizetm.it/img/p/1/5/5/155.jpg;""FELPA CAPPUCCIO MINI-LOGO - NERO"";CS2178/N;Shop;72.950820;89;49;0"
"75;https://www.customizetm.it/img/p/1/6/3/163.jpg;""T-SHIRT MINI-LOGO - OFFWHITE"";CS2254/O;Shop;45.000000;54.9;50;0"
"76;https://www.customizetm.it/img/p/1/6/4/164.jpg;""T-SHIRT LOGO IN TONO"";CS2019/TST;Shop;45.000000;54.9;20;0"
"77;https://www.customizetm.it/img/p/1/6/8/168.jpg;""FELPA CAPPUCCIO MAXI-LOGO - NERO"";CS21BK/N;Shop;72.950820;89;50;0"
"78;https://www.customizetm.it/img/p/1/7/2/172.jpg;""FELPA CAPPUCCIO MAXI-LOGO - OFFWHITE"";CS21BK/W;Shop;72.950820;89;50;0"
"79;https://www.customizetm.it/img/p/1/7/6/176.jpg;""FELPA CAPPUCCIO MINI-LOGO - CORALLO"";CS21BK/C;Shop;65.573769;80;50;0"
"81;https://www.customizetm.it/img/p/2/0/7/207.jpg;""FELPA CAPPUCCIO LOGO RICAMATO  - ALOE"";CS2236/A;Shop;72.950820;89;50;0"
"82;https://www.customizetm.it/img/p/2/1/1/211.jpg;""FELPA CAPPUCCIO LOGO RICAMATO  - ROSA ANTICO"";CS2236/RA;Shop;72.950820;89;50;0"
"83;https://www.customizetm.it/img/p/2/1/5/215.jpg;""FELPA CAPPUCCIO LOGO RICAMATO  - MARRONE"";CS2236/M;Shop;72.950820;89;50;0"
"84;https://www.customizetm.it/img/p/2/1/9/219.jpg;""FELPA CAPPUCCIO LOGO RICAMATO  - OCRA"";CS2236/GO;Shop;72.950820;89;50;0"
"85;https://www.customizetm.it/img/p/2/2/4/224.jpg;""FELPA CAPPUCCIO LOGO RICAMATO  - VIOLET"";CS2236/V;Shop;72.950820;89;49;0"
"86;https://www.customizetm.it/img/p/2/2/7/227.jpg;""FELPA CAPPUCCIO LOGO RICAMATO  - OFFWHITE"";CS2236/O;Shop;72.950820;89;50;0"
"87;https://www.customizetm.it/img/p/2/3/1/231.jpg;""FELPA CAPPUCCIO MINI-LOGO  - ALOE"";CS2203/A;Shop;72.950820;89;50;0"
"88;https://www.customizetm.it/img/p/2/3/5/235.jpg;""FELPA CAPPUCCIO MINI-LOGO  - OCRA"";CS2203/GO;Shop;72.950820;89;50;0"
"89;https://www.customizetm.it/img/p/2/4/0/240.jpg;""FELPA CAPPUCCIO MINI-LOGO  - ROSA ANTICO"";CS2203/RA;Shop;72.950820;89;50;0"
